"People who STILL have my notifs on, I love you and your the most amazing people to ever exist &lt;3",,,,
Thank you everyone who joined the stream today! And thanks to @/Jrush13 and @/VOIDsoupS for the raids!,,,,
where is rachel weisz??,,,,
Summer in the Netherlands:\n\nRain\nRain\nRain\nOh sun\nRain\nMore rain…\n \nGetting fucking tired of this shit!,,,,
I have emptied the entire Emmarose ship into the bin cause what!!! Ozone my ever loyal ship,,,,
so the nct not showering thing was true,,,,
lol why is it so hot,,,,
zain acting gay on the tl then getting mad when xe gets called out 😕,,,,
You you you you,,,,
Sara Jacobs is good you guys,,,,
I’m the moisture master.,,,,
Egyptian cotton for who when there’s presles 😂😂,,,,I was confused b/w other and informative for this. 
⠀⠀\nThere you go plaguing my mentions yet again.\n⠀⠀,,,,
Ain’t no way sandy is gonna sign him last second,,,,
not the emoji,,,,
Try me,,,,
Gonna buy a trench coat so that I can pretend to be two kids sneaking into an R rated movie,,,,
Very cute and very hung - good morning!,,,,
Well fuck’em then!,,,,
I don’t even really eat McDonalds but I’m low key hyped to eat Saweetie’s meal how she eats it 😭😂,,,,
"again, ready to get out to NYC on business… move forward.",,,,
laughing on the outside \ncrying in the inside,,,,
Put on a bullet proof vest love ain’t easy that why I got love scares she left me bleeding 🩸,,,,
Dont ever show me kanye west on sunday when I’ve been drinking,,,,
tfw you wake up in dc but your phone wakes up 30 miles away in maryland 💀,,,,
I like AEW but man a lot of the AEW fans I just want to break their fucking faces. Get Khan's pee pee outta your mouths already.,,,,
can’t take donte over brook ddv ass,,,,
So cute!! 😂❤\n\nOUR FRIEND ARMAAN,,,,
That defence will always be weak!! Granted Gogic at fault at both BUT where was are our central defenders ??,,,,
people really support him?,,,,
Hey Democrats:\n\n See the mess you voted for?!!!!,,,,
Well it kukuma help the real WC also the adults involve no get sense,,,,
"I'm leaving this out for anyone else to try, too!",,,,
"Don't know why Dot speaks in subtitles but Yakko and Wakko are dubbed, I'm assuming he can't do a girl voice or he's too lazy.",,,,
I’m not translating my soul. If you don’t understand we aren’t speaking the same language.,,,,
We need to move past these kind of tweets.,,,,
I Write Down Every Angel Number I See At Work Lmao,,,,
maybe i can get the priest to say happy bday mark,,,,
Koichi has a sick ass Quirk.,,,,
All of God’s plans are perfect for me!,,,,
Radebe probably told Parker he can forget about corner kicks today,,,,
I wanna go to a real mom and pop nursery but Walmart $4 roses ruined that,,,,
obvio,,,,
"Baker on me, I’ll let it sing, but it’s not Anita",,,,
17:23 - Red Jet 6 has arrived at Southampton,,,,"I said informative because of the emoji makes it - ""zoom for ...."" which is informative but in text analysis this could be wrong. "
🔍 for a better way to handle this time...,,,,
not my fav,,,,This is not a complete sentense but I think this can count as a rant. 
I want your dad in my room 😂🤭,,,,
What kind of drugs did you do yesterday?,,,,
My mind go to drifting,,,,
I feel like they say this every year,,,,
About rewatch it’s a sin why I honestly don’t know! 😭,,,,
Tomorrow's AP is going to be brilliant!,,,,
What in the chicken little,,,,
just an observation 🤔,,,,
Kaguya-sama love is war 😩😩,,,,
the best to ever mf do it !,,,,
i thank God that we both girls 🙏🏽 cuz the type of sex we be having we would’ve had 3 kids already,,,,
on god this ain’t gon be the future for myself or anyone else I care about,,,,
mommy issues 😍,,,,
my dad’s side of the family genes strong as shit. why do we all look alike 💀,,,,
isn't this a completely normal thing to do,,,,
"You, sweetheart, are my one and only.",,,,
Who is God? Fools don’t know.\nWho is the most High? Fools don’t know.,,,,
I need an anime watching partner,,,,
I DID IT,,,,
they’re three days apart 😔😔,,,,
6 MIN DE essence reaver kkkkkKkkkk,,,,
My Uni ID card. I graduated decades ago,,,,
"If Neves leaves, then god knows where we finish. Bottom half side even with him in it.",,,,
"//You're really dedicated to this, huh?",,,,
THEN DOES THAT MEAN YEONJUN SUCCEEDED ON REPAIRING THEIR FRIENDSHIP THAT IS IN SHAMBLES RN???,,,,
Take it back bbang. Chanhee is highkey offended rn. TAKE. IT BACK. !,,,,
Our Pastor really got them pipes. Why can he sing like that?,,,,
Amen 🙏,,,,I said appreciation because amen can also mean thank you to god. 
and ion want your love you can keep it if it’s fake.,,,,
what's up with americans in general feeling like bronze or silver medals aren't worth celebrating wtf,,,,
online again hi :D gonna answer dms,,,,
Event #15 day 2 restart at 1pm \n👇 👀 Prizepool and Seating Chart below,,,,
"if theres a new chapter of jjk and bnha i need to read ASAP, anitwt doesn't play with spoilers bruh damn",,,,
chess not checkers !,,,,
colonizer's gotta be my favorite Absurd Internet Insult™ lmaoooo,,,,
STFU XCY YOU WILL NEVER DIE i forbid it,,,,
lmao its so funny to see these white girls just leaking oil all over the apartment complex. They prob have no idea,,,,
yall bringing up a old interview 😂😂😂😂😂😂😂,,,,
the liar ans his lover,,,,
My hamster drew this about me,,,,
I miss my gym in Raleigh....,,,,
Quickest way to lose me as a friend is questioning my loyalty,,,,
i either read 2 books a month or 15 books theres no in-between,,,,
Loving yourself is easier said than done,,,,
I will get back to my low weight,,,,
Just gonna leave this out there for a week. All views welcome. Genuine question.,,,,
Steve Cohen looking like a cheapass,,,,
Last???,,,,
The brightest smile I've ever seen.,,,,
"this account loves and respect simone biles and everything that she does, if you dont focking unfollow me.",,,,
Aswe,,,,
You can’t be mad at the world for your own personal reasons!,,,,
I really do not like Manchin. WV is my state neighbor and family Repubs there want these GOOD BILLS to pass!,,,,
honestly wish my job would fire me,,,,
amen 🙏🏼✨,,,,
Holy fucking smokes i got my money up,,,,
"Lost more people this year than any year in my life, my outlook on a lot of shit is different",,,,
I would like to apologize to all pokemon fans,,,,
no because i was so embarrassed at church istg,,,,
therapy is muting accs u don’t even follow,,,,
Also made me tear up a bit 🥲,,,,
Good,,,,"I wasn't sure about this as just one word might not mean this but I think ""good"" means appreciating something"
Thou shalt not be able to make a mistborn.,,,,
"Insulting your girl after breakup &amp; exposing her past infront of others ""YOU FAILED AS A MAN""",,,,
"• people really sit there &amp; say they don’t like a mf &amp; still be in the likes of every single one of that person pics, you love em sit down.",,,,
lol kangmin must be lurking on twt again to see how verrers lose their minds after his teaser dropped🤣,,,,
Who tf gave numbers names ?,,,,
"Finally feel like I’m on the road to recovery 🥴 thrown up, slept for 2 hours and managed to do a roast dinner. Can’t wait for bed 😵‍💫",,,,
"Weirdo hockey player and his creepy wife didn’t know  when they met, they were just enemies about to make a very bad long term mistake!",,,,
im active when i feel like being active on here. sorry for the long ia sections. hahaha,,,,
Halloween is coming!!!,,,,
But I know that’s what’s finna happen,,,,
"What, my first sexual experience was when I was like 11 🤷🏿‍♂️",,,,
oh it's mark's bd already sfdhb,,,,
yeah I'm happy.\ncz i am.,,,,
I am not doing your mum at my house because i can  faggot,,,,
Calvin Ramsay is an absolute star ⭐️,,,,
"Deflation Envious, Attorney at Law",,,,
po dong,,,,
why is this acct still here. i'm tireddddd,,,,
Don’t get distracted by ‘illegal immigrants’ there are much more pressing matters to deal with!,,,,
"BRUUUUHHH, This song is amazing!!!",,,,
Hmm... Wow~ It seems like you've gotten 1cm taller! ♪,,,,
Forced myself to take the weekend off. Us freelancers will be out here working 8 days a week smh.,,,,
"Lover boy, sorry lover man 😅😂",,,,
I AM HEALTHY \nI AM WEALTHY \nI AM THAT WOMAN🌷✨,,,,
"or, maybe, a generated badger",,,,
"upset that someone came up with eco-anarchism first.\n\nwelcome to my treehouse. no members of society allowed, trees only.",,,,
"Don’t fall for radical world pressure, India should pragmatically make most out of one month UNSC president post!",,,,
LOL. Its camp,,,,
Guess WHO jest singlem,,,,
Man am I glad Mavs got that capologist from the Nets cuz I know the previous guy would've 100% fumbled every opportunity.,,,,
I don't want to be here anymore.,,,,
Firs media,,,,
Never thought Fred Durst would be the man to save 2021,,,,
Shark Tank*,,,,
"As a man, why do you have a ring light???",,,,
NEO TWEWY RAW IM SHAKING,,,,I didn't understand this random text
my twitter keeps on glitching idk if things are even sending :/,,,,
Do visit Jharkhand once. There are many unexplored places that would blow your mind.,,,,
"brian taking a chance on the love, i can't i just can't",,,,
Paul Rudd tho 😍😍,,,,
I miss my dad so much 🥺,,,,
I lowkey want to go the last day of Lolla just because they canceled Dababy 👏🏾,,,,
"Queendom isn't mnet, queendom is red velvet😍",,,,
Literally 🤦🏾‍♀️,,,,
If you ain’t messaging to serve Ne? We ain’t got nuthin’ to talk about 😂,,,,
Having a little bit extra vinegar today 😭,,,,
NA MORAL MERMO ?????\n\nThe Lazy Song - Bruno Mars,,,,
Get well champ you did the hard way today,,,,
"I can't groove with people who wants to go home just because the party is over, let's go to Ruiru or something😭😭🥵",,,,
"😂😂 yes sheep, keep following your leaders blindly.",,,,
SALT AIR,,,,
Idk why but i feel like these guys can really make an impact on this team,,,,
7th phase primary notification,,,,
"Where did you get this from Margie?\n\nAlso, leaf blowers are weapons? Good to know.",,,,
the bf slander.. and i enjoy that song and mv till this day so WHAT 💆‍♀️💆‍♀️,,,,
good morning/afternoon becazue im havent been on twitter,,,,
thank you so much 😍😎💕,,,,
"I love this Maria die, she's up for the money on a 100., She's gives me the content I want.",,,,
jaemin boring (booked)❌,,,,
FACTS,,,,
And rowing has gone down the plughole.,,,,
wtf is soop,,,,
Every time I think they can’t sink lower,,,,
"From the Trailer, I can see many special place and likely to have a similar event as Travis Scott concert",,,,
I say this a lot when people ask how to calculate budgets,,,,
Morning swim,,,,
You should have been the captain Jackson,,,,
goodmorning,,,,
But fair play to Lewis. To claw your way up to third from last. That is the testament of a champion. What a star,,,,
I literally hate Ohio so much,,,,
things happen for a reason i’m so happy for her,,,,
happy one month of young royals release day &lt;33,,,,
Meanwhile Ramos asked for a wage increase lmao,,,,
The pic in the back 🤣 what a fuckin loser,,,,
"🐋📈【Buy】 BTC-PERP\nQty：$1,634,800（40 BTC）🐳🐳🐳\nPrice：$40,870\n[16:23:58 UTC] on FTX",,,,
Anyone for Warzone?,,,,
LLOOOOLLLLLLLLL,,,,This could count as appreciation but I think other is a better category
I WANT YOU TO PUT ME OUT. 🥴 I WANT YOU TO DO IT 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂💯,,,,
I had a dream that I went back to work at the Sonic in Reno last night after graduation 💀,,,,
yo con leeknow,,,,
idk bc king is second in command and i feel like he might be mad foldable,,,,
damn it's everyone's birthday today,,,,
"These people are going all to Rio Grande, after pass the Darien Gap.",,,,
Nah he's the sweetest I'm joking,,,,
I’m getting out just in time bc these ants finally made their way to my apartment.,,,,
I’m already Pluto ruled if I was a Scorpio I think I’d just be a shadow atp,,,,
Please 🤞❤️‍🔥💜🔥,,,,
me when taylor swift breathes,,,,
I’ve been so down lately that I had to get myself together today. Getting dressed and doing my hair makes me feel better on the inside.,,,,
August slipped away into a moment in time 'cause it was never mine,,,,
Smirks over at the reader. \n\n“ I love a man who can be in control..”,,,,
It’s the hope that kills you 🤞🏻🤞🏻🤞🏻,,,,
Shrimp grits and salmon 😋😋🤤🤤,,,,
Mexico president AMLO - No 1 target of global elite \n\nEconomist more critical of Mexican president than Modi /Orban,,,,
Truly,,,,
GTFO BITCH,,,,
Wow. At least they get a compensation pick....,,,,
Can’t stop laughing 😂,,,,
lmao it’s girlfriend day?,,,,
Uh-Unless my eyes are screwy...,,,,
Oh hell nah I’ll kill myself if I get piece controlled by sakura,,,,
"The 2nd time ain’t nothing like the 1st, you gotta make it count.",,,,
"stop wasting your teenage years trying to find love, have fun 💫",,,,
You know them hoes be at my shows... grabbin where my chain go,,,,
🤣🤣🤣 what sammy means to say is…I’m his only Love and he is not interested in any other…capishe,,,,
Devi Shridhar hates this country.,,,,
Sick&amp;tea..,,,,This did sound a little like a rant but I wasn't totally sure if it a rant. 
seungmin's braces look so cute AAAAA,,,,
Bitter too much 🥵🥵🥵,,,,
